cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
80661,PROGRESSIVE CORP/OH/,1993,19940329,0.016042781,1,https://www.sec.gov/Archives/edgar/data/80661/000095015294000341/,['https://www.sec.gov/Archives/edgar/data/80661/000095015294000341/']
1800,ABBOTT LABORATORIES,2000,20010215,0.187165775,0,https://www.sec.gov/Archives/edgar/data/1800/000091205701006039/a2035109z10-k.htm,
896159,ACE LTD,2000,20010329,0.254010695,1,https://www.sec.gov/Archives/edgar/data/896159/000095013101001644/0000950131-01-001644-0001.txt,['https://www.sec.gov/Archives/edgar/data/896159/000095013101001644/0000950131-01-001644-0005.txt']
796343,ADOBE SYSTEMS INC,2000,20010226,0.256684492,0,https://www.sec.gov/Archives/edgar/data/796343/000091205701006700/a2039309z10-k.htm,
874761,AES CORPORATION,2000,20010327,0.248663102,0,https://www.sec.gov/Archives/edgar/data/874761/000091205701008514/a2042927z10-k.htm,
4977,AFLAC INC,2000,20010328,0.197860963,1,https://www.sec.gov/Archives/edgar/data/4977/000000497701500045/k00edg.txt,['https://www.sec.gov/Archives/edgar/data/4977/000000497701500045/k00e13.txt']
4447,AMERADA HESS CORP,2000,20010328,0.168449198,1,https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/y45625ke10-k.txt,['https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/y45625kex13.txt']
4962,AMERICAN EXPRESS CO,2000,20010330,0.294117647,1,https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/axp10k.txt,['https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/axp_ex13a.txt']
5272,AMERICAN INTERNATIONAL GROUP INC,2000,20010402,0.254010695,0,https://www.sec.gov/Archives/edgar/data/5272/000095012301002952/y41459e10-k.txt,
318154,AMGEN INC,2000,20010307,0.237967914,0,https://www.sec.gov/Archives/edgar/data/318154/000089843001000873/0000898430-01-000873-0001.txt,
6281,ANALOG DEVICES INC,2000,20010126,0.197860963,1,https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/b37980ade10-k.txt,"['https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/b37980adex13-1.txt', 'https://www.sec.gov/Archives/edgar/data/6281/000095013501000177/b37980adex13-2.txt']"
315293,AON CORP,2000,20010327,0.262032086,1,https://www.sec.gov/Archives/edgar/data/315293/000094857201000011/0000948572-01-000011-0001.txt,['https://www.sec.gov/Archives/edgar/data/315293/000094857201000011/0000948572-01-000011-0005.txt']
